NOMETABELA;ORDEM;NOMECAMPO;CHAVE;OBRIGATORIO;TIPO;DESCRICAO;TABELAORIGEM;FORMATO;REGRAS
PROC_LICIT_LOTE_ITEM_HOMOLOG;3;PLIC_Data;SIM;SIM;Caractere(10);Data do processo licitatório;PARTICIPACAO_PROC_LICIT_LOTE;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "<= DATA ATUAL" (ver regra d).
PROC_LICIT_LOTE_ITEM_HOMOLOG;4;PLIC_Situacao;SIM;SIM;Inteiro;Situação do processo licitatório;PARTICIPACAO_PROC_LICIT_LOTE;1...13|21, 22;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...13|'21', '22'".
PROC_LICIT_LOTE_ITEM_HOMOLOG;5;PLICLOTE_NumeroLote;SIM;SIM;Inteiro;Núm. do lote;PARTICIPACAO_PROC_LICIT_LOTE;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
PROC_LICIT_LOTE_ITEM_HOMOLOG;6;PLIC_SituacaoPLS;SIM;SIM;Inteiro;Processo licitatório situação;PARTICIPACAO_PROC_LICIT_LOTE;5...6;REGRA 1: O conteúdo do campo deverá estar preenchido com "5...6".
PROC_LICIT_LOTE_ITEM_HOMOLOG;7;PLIC_DataSituacaoPLS;SIM;SIM;Caractere(10);Data do processo licitatório situação;PARTICIPACAO_PROC_LICIT_LOTE;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "<= DATA ATUAL" (ver regra d).
PROC_LICIT_LOTE_ITEM_HOMOLOG;8;CG_Identificacao;SIM;SIM;Caractere(20);Identificação do participante;PARTICIPACAO_PROC_LICIT_LOTE;;
PROC_LICIT_LOTE_ITEM_HOMOLOG;9;PCPLICLOTE_Vencedor;SIM;SIM;Caractere(1);É vencedor?;PARTICIPACAO_PROC_LICIT_LOTE;"S" para sim;REGRA 1: O conteúdo do campo deverá estar preenchido com "'S'".
PROC_LICIT_LOTE_ITEM_HOMOLOG;10;IPLIC_NumeroItem;SIM;SIM;Inteiro;Núm. do item;ITEM_PROC_LICIT;;REGRA 1: O conteúdo do campo deverá conter o número ZERO ou POSITIVO quando obrigatório.
PROC_LICIT_LOTE_ITEM_HOMOLOG;11;PLICLOTEIH_Quantidade;NÃO;SIM;Caractere(10,2);Quantidade do item;;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
PROC_LICIT_LOTE_ITEM_HOMOLOG;12;PLICLOTEIH_ValorUnitario;NÃO;SIM;Caractere(14,4);Valor unitário do item;;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
PROC_LICIT_LOTE_ITEM_HOMOLOG;13;PLICLOTEIH_ValorTotal;NÃO;SIM;Caractere(14,2);Valor total do item;;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório. REGRA 2: O conteúdo do campo deverá conter o resultado do produto dos campos "PLICLOTEIH_Quantidade" e "PLICLOTEIH_ValorUnitario".
PROC_LICIT_ORGAO_DEMANDANTE;1;PLIC_Numero;SIM;SIM;Caractere(16);Núm. de controle do processo licitatório no Aplic;PROCESSO_LICITATORIO;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
PROC_LICIT_ORGAO_DEMANDANTE;2;MLIC_Codigo;SIM;SIM;Caractere(2);Cód. da modalidade da licitação;PROCESSO_LICITATORIO;19...72|01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 12, 13, 14, 15, 17;REGRA 1: O conteúdo do campo deverá estar preenchido com "19...72|'01', '02', '03', '04', '05', '06', '07', '08', '09', '10', '12', '13', '14', '15', '17'".
PROC_LICIT_ORGAO_DEMANDANTE;3;ORG_Codigo;SIM;SIM;Caractere(2);Cód. do órgão demandante;ORGAO;;
PROC_LICIT_PLANEJAMENTO;1;PLIC_Numero;SIM;SIM;Caractere(16);Núm. do planejamento (sequencial);;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
PROC_LICIT_PLANEJAMENTO;2;MLIC_Codigo;SIM;SIM;Caractere(2);Cód. da modalidade;TI.MODALIDADE_LICITACAO;00;REGRA 1: O conteúdo do campo deverá estar preenchido com "'00'".
PROC_LICIT_PLANEJAMENTO;3;PLICP_Data;SIM;SIM;Caractere(10);Data da publicação do planejamento;;;REGRA 1: O conteúdo do campo deverá conter uma DATA válida, a DATA será validada segundo o critério "<= DATA ATUAL" (ver regra d).
PROC_LICIT_PLANEJAMENTO;4;PLIC_Situacao;SIM;SIM;Inteiro;Situação;TI.SITUACAO_LICITACAO;0, 14;REGRA 1: O conteúdo do campo deverá estar preenchido com "'0', '14'".
PROC_LICIT_PLANEJAMENTO;5;PLICP_Tipo;NÃO;SIM;Inteiro;Tipo planejamento;;1...2;REGRA 1: O conteúdo do campo deverá estar preenchido com "1...2".
PROC_LICIT_PLANEJAMENTO;6;PLICP_Objeto;NÃO;SIM;Caractere(255);Descrição do objeto;;;
PROC_LICIT_PLANEJAMENTO;7;PLICP_Valor;NÃO;SIM;Caractere(14,2);Previsão do valor de investimentos;;;REGRA 1: O conteúdo do campo deverá conter um número POSITIVO quando obrigatório.
PROC_LICIT_PLANEJAMENTO;8;PLICP_NomeArqPDF;NÃO;SIM;Caractere(22);Nome do arquivo PDF;;;REGRA 1: A formatação do nome do arquivo PDF deverá estar de acordo com a regra "PLICP_AAAAMM_99999.PDF".
PROC_LICIT_PLANEJAMENTO_DOCUMENTO;1;PLIC_Numero;SIM;SIM;Caractere(16);Núm. do planejamento (sequencial);PROC_LICIT_PLANEJAMENTO_SITUACAO;"99999999999/AAAA" (NRO/ANO);REGRA 1: O conteúdo do campo deverá conter um valor no formato "99999999999/AAAA" (NRO/ANO), o ANO será validado segundo o critério "<= EXERCÍCIO" (ver regra d).
PROC_LICIT_PLANEJAMENTO_DOCUMENTO;2;MLIC_Codigo;SIM;SIM;Caractere(2);Cód. da modalidade;PROC_LICIT_PLANEJAMENTO_SITUACAO;00;REGRA 1: O conteúdo do campo deverá estar preenchido com "'00'".
